Date, Open, High, Low, Close, Total Volume, UnAdjusted Close
19840319,883.10000000,883.10000000,883.10000000,883.10000000,       0,883.10000000
19840320,897.60000000,897.60000000,897.60000000,897.60000000,       0,897.60000000
19840321,901.40000000,901.40000000,901.40000000,901.40000000,       0,901.40000000
19840322,890.00000000,890.00000000,890.00000000,890.00000000,       0,890.00000000
19840323,891.50000000,891.50000000,891.50000000,891.50000000,       0,891.50000000
19840326,889.60000000,889.60000000,889.60000000,889.60000000,       0,889.60000000
19840327,875.00000000,875.00000000,875.00000000,875.00000000,       0,875.00000000
19840328,875.20000000,875.20000000,875.20000000,875.20000000,       0,875.20000000
19840329,881.80000000,881.80000000,881.80000000,881.80000000,       0,881.80000000
19840330,877.00000000,877.00000000,877.00000000,877.00000000,       0,877.00000000
19840402,870.80000000,870.80000000,870.80000000,870.80000000,       0,870.80000000
19840403,859.20000000,859.20000000,859.20000000,859.20000000,       0,859.20000000
19840404,857.80000000,857.80000000,857.80000000,857.80000000,       0,857.80000000
19840405,867.00000000,867.00000000,867.00000000,867.00000000,       0,867.00000000
19840406,865.40000000,865.40000000,865.40000000,865.40000000,       0,865.40000000
19840409,867.20000000,867.20000000,867.20000000,867.20000000,       0,867.20000000
19840410,878.60000000,878.60000000,878.60000000,878.60000000,       0,878.60000000
19840411,886.10000000,886.10000000,886.10000000,886.10000000,       0,886.10000000
19840412,888.60000000,888.60000000,888.60000000,888.60000000,       0,888.60000000
19840413,895.20000000,895.20000000,895.20000000,895.20000000,       0,895.20000000
19840416,875.20000000,875.20000000,875.20000000,875.20000000,       0,875.20000000
19840417,879.80000000,879.80000000,879.80000000,879.80000000,       0,879.80000000
19840418,888.60000000,888.60000000,888.60000000,888.60000000,       0,888.60000000
19840419,880.00000000,880.00000000,880.00000000,880.00000000,       0,880.00000000
19840420,880.00000000,880.00000000,880.00000000,880.00000000,       0,880.00000000
19840423,880.00000000,880.00000000,880.00000000,880.00000000,       0,880.00000000
19840424,876.20000000,876.20000000,876.20000000,876.20000000,       0,876.20000000
19840425,887.60000000,887.60000000,887.60000000,887.60000000,       0,887.60000000
19840426,899.10000000,899.10000000,899.10000000,899.10000000,       0,899.10000000
19840427,908.00000000,908.00000000,908.00000000,908.00000000,       0,908.00000000
19840430,910.10000000,910.10000000,910.10000000,910.10000000,       0,910.10000000
19840501,915.80000000,915.80000000,915.80000000,915.80000000,       0,915.80000000
19840502,919.40000000,919.40000000,919.40000000,919.40000000,       0,919.40000000
19840503,922.80000000,922.80000000,922.80000000,922.80000000,       0,922.80000000
19840504,915.40000000,915.40000000,915.40000000,915.40000000,       0,915.40000000
19840507,915.40000000,915.40000000,915.40000000,915.40000000,       0,915.40000000
19840508,904.80000000,904.80000000,904.80000000,904.80000000,       0,904.80000000
19840509,896.20000000,896.20000000,896.20000000,896.20000000,       0,896.20000000
19840510,884.90000000,884.90000000,884.90000000,884.90000000,       0,884.90000000
19840511,871.00000000,871.00000000,871.00000000,871.00000000,       0,871.00000000
19840514,874.00000000,874.00000000,874.00000000,874.00000000,       0,874.00000000
19840515,878.00000000,878.00000000,878.00000000,878.00000000,       0,878.00000000
19840516,879.40000000,879.40000000,879.40000000,879.40000000,       0,879.40000000
19840517,884.50000000,884.50000000,884.50000000,884.50000000,       0,884.50000000
19840518,874.40000000,874.40000000,874.40000000,874.40000000,       0,874.40000000
19840521,876.20000000,876.20000000,876.20000000,876.20000000,       0,876.20000000
19840522,856.30000000,856.30000000,856.30000000,856.30000000,       0,856.30000000
19840523,847.60000000,847.60000000,847.60000000,847.60000000,       0,847.60000000
19840524,826.40000000,826.40000000,826.40000000,826.40000000,       0,826.40000000
19840525,827.90000000,827.90000000,827.90000000,827.90000000,       0,827.90000000
19840528,827.90000000,827.90000000,827.90000000,827.90000000,       0,827.90000000
19840529,826.20000000,826.20000000,826.20000000,826.20000000,       0,826.20000000
19840530,803.40000000,803.40000000,803.40000000,803.40000000,       0,803.40000000
